customer_id,first_name,last_name,email,city,state,country,region,acquisition_channel,first_order_date
25,Yuki,Baker,yuki.baker25@example.com,Sydney,NSW,Australia,International,Organic Search,2025-02-10
26,Lisa,Diaz,lisa.diaz26@example.com,Sydney,NSW,Australia,International,Email Marketing,2023-12-06
27,Jennifer,Nair,jennifer.nair27@example.com,Cleveland,OH,USA,Midwest,Direct,2024-05-01
28,Neha,Adams,neha.adams28@example.com,Sacramento,CA,USA,West,Organic Search,2024-05-04
29,Aiden,Gonzalez,aiden.gonzalez29@example.com,Cleveland,OH,USA,Midwest,Direct,2026-03-14
30,Noah,Baker,noah.baker30@example.com,Detroit,MI,USA,Midwest,Direct,2025-10-26
31,Christopher,Gonzalez,christopher.gonzalez31@example.com,Manchester,,UK,International,Organic Search,2024-05-27
32,Sophia,Kumar,sophia.kumar32@example.com,Toronto,ON,Canada,International,Referral,2025-11-22
33,Neha,Garcia,neha.garcia33@example.com,San Jose,CA,USA,West,Organic Search,2025-11-17
34,Chen,Garcia,chen.garcia34@example.com,Seattle,WA,USA,West,Email Marketing,2024-12-16
35,Omar,Brown,omar.brown35@example.com,Orlando,FL,USA,South,Paid Social,2024-04-27
36,William,Kumar,william.kumar36@example.com,Seattle,WA,USA,West,Organic Search,2023-07-22
37,Jin,Martinez,jin.martinez37@example.com,Dallas,TX,USA,South,Organic Search,2025-08-25
38,Sarah,Adams,sarah.adams38@example.com,Las Vegas,NV,USA,West,Paid Social,2023-01-11
39,Robert,Taylor,robert.taylor39@example.com,Indianapolis,IN,USA,Midwest,Email Marketing,2026-01-28
40,Amelia,Iyer,amelia.iyer40@example.com,San Diego,CA,USA,West,Direct,2024-05-01
41,Michael,Thomas,michael.thomas41@example.com,St. Louis,MO,USA,Midwest,Direct,2026-06-29
42,Joseph,Wang,joseph.wang42@example.com,Manchester,,UK,International,Paid Social,2026-07-18
43,Priya,Hill,priya.hill43@example.com,Austin,TX,USA,South,Organic Search,2023-01-04
44,Priya,Tanaka,priya.tanaka44@example.com,St. Louis,MO,USA,Midwest,Organic Search,2023-06-25
45,Maria,Jones,maria.jones45@example.com,Raleigh,NC,USA,South,Paid Social,2025-11-05
46,Luis,Chen,luis.chen46@example.com,Chicago,IL,USA,Midwest,Direct,2025-02-03
47,Robert,Gupta,robert.gupta47@example.com,Phoenix,AZ,USA,West,Paid Social,2026-07-10
48,Jin,Rodriguez,jin.rodriguez48@example.com,Chicago,IL,USA,Midwest,Paid Social,2024-11-24
49,Daniel,Baker,daniel.baker49@example.com,Kansas City,MO,USA,Midwest,Referral,2025-09-07
50,Sarah,Jones,sarah.jones50@example.com,Kansas City,MO,USA,Midwest,Organic Search,2024-02-17
51,Betty,Williams,betty.williams51@example.com,Atlanta,GA,USA,South,Referral,2025-11-21
52,Harper,Chen,harper.chen52@example.com,Boston,MA,USA,Northeast,Organic Search,2026-08-17
53,Carlos,Baker,carlos.baker53@example.com,Houston,TX,USA,South,Email Marketing,2024-11-10
54,Jose,Iyer,jose.iyer54@example.com,Orlando,FL,USA,South,Direct,2025-03-02
55,Lisa,Wang,lisa.wang55@example.com,Baltimore,MD,USA,Northeast,Paid Social,2025-11-29
56,William,Flores,william.flores56@example.com,Pittsburgh,PA,USA,Northeast,Organic Search,2026-05-18
57,Lisa,Liu,lisa.liu57@example.com,Detroit,MI,USA,Midwest,Organic Search,2023-06-13
58,Rajesh,Martin,rajesh.martin58@example.com,Sacramento,CA,USA,West,Direct,2025-05-22
59,Olivia,Gupta,olivia.gupta59@example.com,Sacramento,CA,USA,West,Organic Search,2024-12-23
60,Chen,Moore,chen.moore60@example.com,Melbourne,VIC,Australia,International,Referral,2023-04-28
61,Ahmed,Kumar,ahmed.kumar61@example.com,Milwaukee,WI,USA,Midwest,Email Marketing,2023-11-24
62,Charles,Park,charles.park62@example.com,Sacramento,CA,USA,West,Organic Search,2023-05-18
63,Maria,Kumar,maria.kumar63@example.com,Tampa,FL,USA,South,Referral,2023-03-08
64,Liam,Kumar,liam.kumar64@example.com,Cleveland,OH,USA,Midwest,Paid Social,2023-06-07
65,Amelia,Kumar,amelia.kumar65@example.com,Orlando,FL,USA,South,Organic Search,2024-07-24
66,Joseph,Johnson,joseph.johnson66@example.com,Columbus,OH,USA,Midwest,Paid Social,2025-03-03
67,Jessica,Taylor,jessica.taylor67@example.com,Boston,MA,USA,Northeast,Direct,2024-03-15
68,Neha,Diaz,neha.diaz68@example.com,Baltimore,MD,USA,Northeast,Organic Search,2023-10-05
69,Liam,Lopez,liam.lopez69@example.com,Sacramento,CA,USA,West,Referral,2024-10-16
70,David,Yamamoto,david.yamamoto70@example.com,Salt Lake City,UT,USA,West,Organic Search,2024-09-06
71,Daniel,Kumar,daniel.kumar71@example.com,Milwaukee,WI,USA,Midwest,Organic Search,2024-02-16
72,Priya,Wang,priya.wang72@example.com,Los Angeles,CA,USA,West,Paid Social,2026-03-18
73,Thomas,Nguyen,thomas.nguyen73@example.com,Philadelphia,PA,USA,Northeast,Organic Search,2025-03-26
74,Sophia,Zhang,sophia.zhang74@example.com,St. Louis,MO,USA,Midwest,Direct,2026-03-23
75,Wei,Wright,wei.wright75@example.com,Phoenix,AZ,USA,West,Paid Social,2025-11-25
76,Lisa,Baker,lisa.baker76@example.com,Dallas,TX,USA,South,Paid Social,2023-04-24
77,Mason,Martinez,mason.martinez77@example.com,Portland,OR,USA,West,Organic Search,2024-10-22
78,Mark,Gupta,mark.gupta78@example.com,Raleigh,NC,USA,South,Email Marketing,2023-06-11
79,Vikram,Rodriguez,vikram.rodriguez79@example.com,Melbourne,VIC,Australia,International,Organic Search,2025-12-28
80,Nancy,Kim,nancy.kim80@example.com,London,,UK,International,Organic Search,2026-07-02
81,Yuki,Tanaka,yuki.tanaka81@example.com,Chicago,IL,USA,Midwest,Email Marketing,2023-02-28
82,Rohan,Wright,rohan.wright82@example.com,Indianapolis,IN,USA,Midwest,Direct,2025-05-03
83,Patricia,Wang,patricia.wang83@example.com,Melbourne,VIC,Australia,International,Paid Social,2026-08-07
84,Sophia,Thomas,sophia.thomas84@example.com,Orlando,FL,USA,South,Organic Search,2023-05-30
85,Christopher,Rao,christopher.rao85@example.com,St. Louis,MO,USA,Midwest,Paid Social,2024-02-22
86,Charles,Sharma,charles.sharma86@example.com,Atlanta,GA,USA,South,Direct,2024-12-08
87,Thomas,Adams,thomas.adams87@example.com,Cleveland,OH,USA,Midwest,Paid Social,2023-08-06
88,Noah,Davis,noah.davis88@example.com,Nashville,TN,USA,South,Paid Social,2023-10-16
89,Rajesh,Singh,rajesh.singh89@example.com,Sydney,NSW,Australia,International,Paid Social,2023-11-24
90,Wei,Gonzalez,wei.gonzalez90@example.com,San Jose,CA,USA,West,Paid Social,2025-11-20
91,Amit,Wang,amit.wang91@example.com,Los Angeles,CA,USA,West,Organic Search,2025-03-16
92,Priya,Wilson,priya.wilson92@example.com,London,,UK,International,Paid Social,2023-04-14
93,Aiden,Jackson,aiden.jackson93@example.com,Salt Lake City,UT,USA,West,Organic Search,2023-08-09
94,Rohan,Flores,rohan.flores94@example.com,Cleveland,OH,USA,Midwest,Direct,2025-01-19
95,Michael,Tanaka,michael.tanaka95@example.com,Toronto,ON,Canada,International,Organic Search,2026-02-07
96,Luis,Li,luis.li96@example.com,Sacramento,CA,USA,West,Direct,2024-07-26
97,Jessica,Rodriguez,jessica.rodriguez97@example.com,San Antonio,TX,USA,South,Paid Social,2024-11-25
98,Maria,Adams,maria.adams98@example.com,Austin,TX,USA,South,Organic Search,2025-11-08
99,Jennifer,Williams,jennifer.williams99@example.com,Chicago,IL,USA,Midwest,Organic Search,2024-11-13
100,Mason,Mehta,mason.mehta100@example.com,Austin,TX,USA,South,Direct,2025-11-21
101,Wei,Hernandez,wei.hernandez101@example.com,Orlando,FL,USA,South,Referral,2024-09-04
102,Ethan,Li,ethan.li102@example.com,Salt Lake City,UT,USA,West,Paid Social,2026-02-26
103,Robert,Kumar,robert.kumar103@example.com,Miami,FL,USA,South,Direct,2025-05-03
104,Patricia,Park,patricia.park104@example.com,Las Vegas,NV,USA,West,Organic Search,2026-03-30
105,Michael,Kim,michael.kim105@example.com,Las Vegas,NV,USA,West,Organic Search,2026-07-12
106,Ana,Martinez,ana.martinez106@example.com,Denver,CO,USA,West,Organic Search,2023-08-14
107,Olivia,Sharma,olivia.sharma107@example.com,St. Louis,MO,USA,Midwest,Organic Search,2024-02-22
108,Aiden,Green,aiden.green108@example.com,Houston,TX,USA,South,Direct,2025-11-28
109,Mei,Scott,mei.scott109@example.com,Las Vegas,NV,USA,West,Paid Social,2024-10-04
110,Emma,Liu,emma.liu110@example.com,Miami,FL,USA,South,Paid Social,2026-08-10
111,Rohan,Nguyen,rohan.nguyen111@example.com,Las Vegas,NV,USA,West,Organic Search,2024-05-19
112,Sunita,Anderson,sunita.anderson112@example.com,Portland,OR,USA,West,Direct,2024-02-29
113,Lucas,Sharma,lucas.sharma113@example.com,Las Vegas,NV,USA,West,Paid Social,2024-07-14
114,Harper,Singh,harper.singh114@example.com,Orlando,FL,USA,South,Email Marketing,2023-10-27
115,Neha,Hill,neha.hill115@example.com,Philadelphia,PA,USA,Northeast,Paid Social,2025-06-24
116,Sophia,Wilson,sophia.wilson116@example.com,Charlotte,NC,USA,South,Email Marketing,2024-07-09
117,Kavita,Rodriguez,kavita.rodriguez117@example.com,San Antonio,TX,USA,South,Direct,2026-04-16
118,Michael,Scott,michael.scott118@example.com,Raleigh,NC,USA,South,Organic Search,2024-04-21
119,Sofia,Patel,sofia.patel119@example.com,Las Vegas,NV,USA,West,Organic Search,2023-10-09
120,Christopher,Nair,christopher.nair120@example.com,Las Vegas,NV,USA,West,Paid Social,2024-02-13
121,Neha,Sharma,neha.sharma121@example.com,Detroit,MI,USA,Midwest,Direct,2023-07-03
122,Sandra,Liu,sandra.liu122@example.com,Chicago,IL,USA,Midwest,Referral,2023-12-25
123,Daniel,Williams,daniel.williams123@example.com,Orlando,FL,USA,South,Email Marketing,2024-01-17
124,Rajesh,Williams,rajesh.williams124@example.com,New York,NY,USA,Northeast,Organic Search,2026-05-19
125,Jin,Jackson,jin.jackson125@example.com,Kansas City,MO,USA,Midwest,Referral,2026-01-17
126,Sarah,Li,sarah.li126@example.com,Kansas City,MO,USA,Midwest,Organic Search,2023-08-19
127,Emma,Wright,emma.wright127@example.com,Boston,MA,USA,Northeast,Direct,2023-01-29
128,Rajesh,Tanaka,rajesh.tanaka128@example.com,Charlotte,NC,USA,South,Organic Search,2026-08-01
129,Elena,Li,elena.li129@example.com,Atlanta,GA,USA,South,Organic Search,2023-07-15
130,Sarah,Chen,sarah.chen130@example.com,Atlanta,GA,USA,South,Referral,2023-01-14
131,Priya,Rao,priya.rao131@example.com,Nashville,TN,USA,South,Referral,2024-09-10
132,Mary,Taylor,mary.taylor132@example.com,Cleveland,OH,USA,Midwest,Direct,2023-05-08
133,Noah,Martin,noah.martin133@example.com,San Jose,CA,USA,West,Paid Social,2025-10-26
134,Amit,Diaz,amit.diaz134@example.com,San Diego,CA,USA,West,Direct,2024-08-27
135,Mark,Anderson,mark.anderson135@example.com,Dallas,TX,USA,South,Paid Social,2025-07-20
136,Jose,Nair,jose.nair136@example.com,Toronto,ON,Canada,International,Referral,2026-01-05
137,Margaret,Adams,margaret.adams137@example.com,Denver,CO,USA,West,Direct,2026-05-05
138,William,Zhang,william.zhang138@example.com,Sacramento,CA,USA,West,Paid Social,2025-01-10
139,Joseph,Brown,joseph.brown139@example.com,Toronto,ON,Canada,International,Email Marketing,2024-02-19
140,Karen,Hernandez,karen.hernandez140@example.com,Atlanta,GA,USA,South,Email Marketing,2025-06-23
141,Anthony,Hill,anthony.hill141@example.com,London,,UK,International,Paid Social,2025-11-11
142,Linda,Mehta,linda.mehta142@example.com,Dallas,TX,USA,South,Paid Social,2025-07-24
143,Noah,Torres,noah.torres143@example.com,Portland,OR,USA,West,Direct,2025-03-21
144,James,Green,james.green144@example.com,Indianapolis,IN,USA,Midwest,Paid Social,2023-04-03
145,David,Liu,david.liu145@example.com,Houston,TX,USA,South,Referral,2023-05-22
146,Aiden,Williams,aiden.williams146@example.com,Detroit,MI,USA,Midwest,Paid Social,2023-10-05
147,Omar,Kumar,omar.kumar147@example.com,Tampa,FL,USA,South,Paid Social,2025-02-12
148,Harper,Rodriguez,harper.rodriguez148@example.com,Minneapolis,MN,USA,Midwest,Organic Search,2026-01-05
149,Thomas,Flores,thomas.flores149@example.com,Seattle,WA,USA,West,Email Marketing,2023-02-16
150,Noah,Torres,noah.torres150@example.com,Salt Lake City,UT,USA,West,Paid Social,2025-02-15
151,Arjun,Mehta,arjun.mehta151@example.com,Minneapolis,MN,USA,Midwest,Organic Search,2024-01-22
152,Joseph,Williams,joseph.williams152@example.com,St. Louis,MO,USA,Midwest,Direct,2023-02-02
153,David,Miller,david.miller153@example.com,Manchester,,UK,International,Organic Search,2026-05-09
154,Michael,Thomas,michael.thomas154@example.com,Chicago,IL,USA,Midwest,Paid Social,2024-04-24
155,Linda,Rodriguez,linda.rodriguez155@example.com,Milwaukee,WI,USA,Midwest,Referral,2024-04-24
156,Wei,Tanaka,wei.tanaka156@example.com,Manchester,,UK,International,Direct,2024-10-18
157,Charles,Scott,charles.scott157@example.com,Raleigh,NC,USA,South,Organic Search,2024-09-07
158,Daniel,Kelly,daniel.kelly158@example.com,Pittsburgh,PA,USA,Northeast,Paid Social,2023-04-07
159,Ana,Zhang,ana.zhang159@example.com,Atlanta,GA,USA,South,Direct,2025-04-16
160,Ana,Lopez,ana.lopez160@example.com,Salt Lake City,UT,USA,West,Paid Social,2024-04-06
161,Charles,Mehta,charles.mehta161@example.com,Houston,TX,USA,South,Paid Social,2025-05-03
162,Sarah,Singh,sarah.singh162@example.com,Denver,CO,USA,West,Organic Search,2024-11-07
163,Liam,Kumar,liam.kumar163@example.com,Philadelphia,PA,USA,Northeast,Paid Social,2024-01-26
164,Ana,Torres,ana.torres164@example.com,Manchester,,UK,International,Direct,2023-05-30
165,Margaret,Chen,margaret.chen165@example.com,Indianapolis,IN,USA,Midwest,Email Marketing,2024-11-12
166,Mary,Wilson,mary.wilson166@example.com,Charlotte,NC,USA,South,Referral,2023-08-29
167,Sophia,Thomas,sophia.thomas167@example.com,Manchester,,UK,International,Direct,2025-03-23
168,Mei,Baker,mei.baker168@example.com,Detroit,MI,USA,Midwest,Paid Social,2025-12-28
169,Amit,Taylor,amit.taylor169@example.com,Cleveland,OH,USA,Midwest,Paid Social,2025-10-15
170,Aiden,Adams,aiden.adams170@example.com,Atlanta,GA,USA,South,Referral,2025-01-29
171,Jennifer,Tanaka,jennifer.tanaka171@example.com,Seattle,WA,USA,West,Direct,2023-02-03
172,Omar,Jackson,omar.jackson172@example.com,Austin,TX,USA,South,Organic Search,2024-04-16
173,Arjun,Wang,arjun.wang173@example.com,Toronto,ON,Canada,International,Direct,2024-11-22
174,Lucas,Flores,lucas.flores174@example.com,Baltimore,MD,USA,Northeast,Paid Social,2024-12-22
175,Harper,Wang,harper.wang175@example.com,Columbus,OH,USA,Midwest,Referral,2026-01-15
176,Linda,Zhang,linda.zhang176@example.com,Chicago,IL,USA,Midwest,Email Marketing,2023-06-02
177,Michael,Adams,michael.adams177@example.com,New York,NY,USA,Northeast,Paid Social,2026-07-15
178,Karen,Smith,karen.smith178@example.com,Indianapolis,IN,USA,Midwest,Paid Social,2025-02-03
179,Sophia,Scott,sophia.scott179@example.com,Baltimore,MD,USA,Northeast,Organic Search,2025-12-25
180,Mary,Johnson,mary.johnson180@example.com,Raleigh,NC,USA,South,Direct,2026-01-02
181,Robert,Li,robert.li181@example.com,Pittsburgh,PA,USA,Northeast,Email Marketing,2024-01-03
182,Richard,Zhang,richard.zhang182@example.com,Austin,TX,USA,South,Organic Search,2026-06-23
183,Carlos,Moore,carlos.moore183@example.com,Orlando,FL,USA,South,Organic Search,2025-04-11
184,Arjun,Diaz,arjun.diaz184@example.com,Seattle,WA,USA,West,Organic Search,2023-06-15
185,John,Garcia,john.garcia185@example.com,Orlando,FL,USA,South,Paid Social,2026-02-05
186,Mary,Diaz,mary.diaz186@example.com,San Jose,CA,USA,West,Organic Search,2025-06-07
187,Jin,Tanaka,jin.tanaka187@example.com,San Antonio,TX,USA,South,Email Marketing,2023-03-29
188,Aiden,Moore,aiden.moore188@example.com,Chicago,IL,USA,Midwest,Referral,2024-07-28
189,John,Lopez,john.lopez189@example.com,Atlanta,GA,USA,South,Organic Search,2024-02-29
190,Fatima,Jones,fatima.jones190@example.com,Portland,OR,USA,West,Organic Search,2024-05-07
191,Luis,Torres,luis.torres191@example.com,Salt Lake City,UT,USA,West,Organic Search,2023-10-14
192,William,Li,william.li192@example.com,Minneapolis,MN,USA,Midwest,Organic Search,2025-06-14
193,Elizabeth,Patel,elizabeth.patel193@example.com,Manchester,,UK,International,Direct,2026-05-04
194,Mei,Johnson,mei.johnson194@example.com,Melbourne,VIC,Australia,International,Organic Search,2025-07-11
195,Carlos,Yamamoto,carlos.yamamoto195@example.com,Tampa,FL,USA,South,Paid Social,2026-04-14
196,William,Baker,william.baker196@example.com,Sydney,NSW,Australia,International,Organic Search,2024-05-19
197,William,Moore,william.moore197@example.com,Austin,TX,USA,South,Paid Social,2026-07-22
198,Luis,Sharma,luis.sharma198@example.com,Cleveland,OH,USA,Midwest,Organic Search,2023-01-11
199,Olivia,Kumar,olivia.kumar199@example.com,Nashville,TN,USA,South,Organic Search,2023-06-28
200,Liam,Yamamoto,liam.yamamoto200@example.com,Toronto,ON,Canada,International,Paid Social,2023-07-31
201,Carlos,Yamamoto,carlos.yamamoto201@example.com,Philadelphia,PA,USA,Northeast,Direct,2024-10-26
202,Mary,Jackson,mary.jackson202@example.com,St. Louis,MO,USA,Midwest,Paid Social,2023-06-23
203,Arjun,Tanaka,arjun.tanaka203@example.com,Raleigh,NC,USA,South,Organic Search,2025-02-18
204,Kavita,Martin,kavita.martin204@example.com,Nashville,TN,USA,South,Paid Social,2023-05-10
205,Vikram,Nair,vikram.nair205@example.com,Portland,OR,USA,West,Paid Social,2023-06-07
206,Arjun,Flores,arjun.flores206@example.com,Melbourne,VIC,Australia,International,Paid Social,2026-06-16
207,Susan,Rodriguez,susan.rodriguez207@example.com,Portland,OR,USA,West,Organic Search,2025-03-21
208,Ana,Patel,ana.patel208@example.com,Sacramento,CA,USA,West,Organic Search,2026-08-26
209,Sarah,Martin,sarah.martin209@example.com,Atlanta,GA,USA,South,Direct,2024-02-16
210,Daniel,Reddy,daniel.reddy210@example.com,Atlanta,GA,USA,South,Organic Search,2026-07-20
211,Arjun,Sharma,arjun.sharma211@example.com,Tampa,FL,USA,South,Organic Search,2025-03-15
212,Betty,Kim,betty.kim212@example.com,Salt Lake City,UT,USA,West,Organic Search,2026-01-31
213,Noah,Hill,noah.hill213@example.com,Indianapolis,IN,USA,Midwest,Paid Social,2024-08-19
214,David,Nair,david.nair214@example.com,Baltimore,MD,USA,Northeast,Organic Search,2024-09-12
215,Karen,Hill,karen.hill215@example.com,Pittsburgh,PA,USA,Northeast,Email Marketing,2023-06-01
216,Sophia,Kim,sophia.kim216@example.com,Orlando,FL,USA,South,Paid Social,2025-05-06
217,Maria,Diaz,maria.diaz217@example.com,Salt Lake City,UT,USA,West,Direct,2023-06-24
218,Arjun,Scott,arjun.scott218@example.com,Minneapolis,MN,USA,Midwest,Organic Search,2026-06-08
219,Ahmed,Adams,ahmed.adams219@example.com,Miami,FL,USA,South,Referral,2025-05-31
220,Richard,Taylor,richard.taylor220@example.com,Seattle,WA,USA,West,Paid Social,2025-11-28
221,Mark,Rao,mark.rao221@example.com,Cleveland,OH,USA,Midwest,Paid Social,2026-04-20
222,Karen,Gupta,karen.gupta222@example.com,Los Angeles,CA,USA,West,Paid Social,2024-08-28
223,William,Davis,william.davis223@example.com,Austin,TX,USA,South,Paid Social,2024-12-03
224,Anthony,Zhang,anthony.zhang224@example.com,Las Vegas,NV,USA,West,Paid Social,2023-07-19
225,Liam,Sharma,liam.sharma225@example.com,Phoenix,AZ,USA,West,Organic Search,2023-08-24
226,Yuki,Wright,yuki.wright226@example.com,San Antonio,TX,USA,South,Direct,2023-12-03
227,Arjun,Zhang,arjun.zhang227@example.com,Columbus,OH,USA,Midwest,Paid Social,2024-11-08
228,Noah,Anderson,noah.anderson228@example.com,Orlando,FL,USA,South,Direct,2024-01-17
229,Chen,Reddy,chen.reddy229@example.com,Los Angeles,CA,USA,West,Direct,2024-02-09
230,Elena,Singh,elena.singh230@example.com,New York,NY,USA,Northeast,Direct,2024-02-26
231,David,Tanaka,david.tanaka231@example.com,San Antonio,TX,USA,South,Email Marketing,2026-01-04
232,Mei,Gonzalez,mei.gonzalez232@example.com,Kansas City,MO,USA,Midwest,Organic Search,2025-09-29
233,Wei,Park,wei.park233@example.com,Tampa,FL,USA,South,Direct,2026-04-17
234,Carlos,Mehta,carlos.mehta234@example.com,Sydney,NSW,Australia,International,Organic Search,2024-09-01
235,William,Torres,william.torres235@example.com,Dallas,TX,USA,South,Organic Search,2024-05-03
236,Lisa,Kumar,lisa.kumar236@example.com,Austin,TX,USA,South,Paid Social,2025-05-06
237,Luis,Iyer,luis.iyer237@example.com,Columbus,OH,USA,Midwest,Paid Social,2026-01-05
238,Daniel,Yamamoto,daniel.yamamoto238@example.com,San Jose,CA,USA,West,Paid Social,2023-10-15
239,Liam,Nguyen,liam.nguyen239@example.com,Houston,TX,USA,South,Email Marketing,2023-01-20
240,Matthew,Singh,matthew.singh240@example.com,Toronto,ON,Canada,International,Paid Social,2025-10-10
241,Lucas,Nair,lucas.nair241@example.com,Sacramento,CA,USA,West,Paid Social,2023-06-19
242,Mark,Jackson,mark.jackson242@example.com,Chicago,IL,USA,Midwest,Organic Search,2026-01-06
243,Emma,Tanaka,emma.tanaka243@example.com,Baltimore,MD,USA,Northeast,Paid Social,2023-08-20
244,Kavita,Baker,kavita.baker244@example.com,Salt Lake City,UT,USA,West,Email Marketing,2025-01-21
245,Jennifer,Adams,jennifer.adams245@example.com,Sacramento,CA,USA,West,Paid Social,2025-05-20
246,Arjun,Martin,arjun.martin246@example.com,Chicago,IL,USA,Midwest,Paid Social,2024-12-14
247,Barbara,Rao,barbara.rao247@example.com,San Diego,CA,USA,West,Direct,2024-04-30
248,Hiroshi,Hill,hiroshi.hill248@example.com,Sydney,NSW,Australia,International,Direct,2023-12-06
249,Anthony,Wilson,anthony.wilson249@example.com,Houston,TX,USA,South,Paid Social,2025-12-26
250,Logan,Hernandez,logan.hernandez250@example.com,Atlanta,GA,USA,South,Referral,2024-08-22
251,Kavita,Li,kavita.li251@example.com,San Antonio,TX,USA,South,Organic Search,2025-04-22
252,Vikram,Wright,vikram.wright252@example.com,Dallas,TX,USA,South,Direct,2023-09-29
253,Mei,Thomas,mei.thomas253@example.com,Orlando,FL,USA,South,Paid Social,2026-03-28
254,Omar,Singh,omar.singh254@example.com,Sacramento,CA,USA,West,Organic Search,2023-07-10
255,Vikram,Diaz,vikram.diaz255@example.com,Cleveland,OH,USA,Midwest,Paid Social,2025-09-26
256,James,Baker,james.baker256@example.com,Philadelphia,PA,USA,Northeast,Direct,2025-07-27
257,Carlos,Jones,carlos.jones257@example.com,Salt Lake City,UT,USA,West,Paid Social,2025-05-29
258,Isabella,Moore,isabella.moore258@example.com,Atlanta,GA,USA,South,Email Marketing,2024-11-22
259,Thomas,Tanaka,thomas.tanaka259@example.com,Baltimore,MD,USA,Northeast,Email Marketing,2023-04-10
260,Emma,Johnson,emma.johnson260@example.com,San Diego,CA,USA,West,Referral,2023-11-20
261,James,Iyer,james.iyer261@example.com,Charlotte,NC,USA,South,Referral,2023-09-28
262,Sunita,Hernandez,sunita.hernandez262@example.com,Nashville,TN,USA,South,Organic Search,2025-01-08
263,Jose,Scott,jose.scott263@example.com,San Jose,CA,USA,West,Organic Search,2026-07-05
264,Sandra,Iyer,sandra.iyer264@example.com,Philadelphia,PA,USA,Northeast,Direct,2023-01-03
265,Elizabeth,Rodriguez,elizabeth.rodriguez265@example.com,London,,UK,International,Organic Search,2025-06-30
266,Yuki,Davis,yuki.davis266@example.com,Pittsburgh,PA,USA,Northeast,Direct,2025-09-05
267,Luis,Garcia,luis.garcia267@example.com,San Antonio,TX,USA,South,Organic Search,2025-01-22
268,Sarah,Singh,sarah.singh268@example.com,Dallas,TX,USA,South,Direct,2023-10-20
269,Mary,Nguyen,mary.nguyen269@example.com,San Jose,CA,USA,West,Paid Social,2024-03-12
270,Karen,Nair,karen.nair270@example.com,Sydney,NSW,Australia,International,Direct,2024-03-20
271,Richard,Rodriguez,richard.rodriguez271@example.com,San Diego,CA,USA,West,Direct,2025-02-25
272,Elena,Sharma,elena.sharma272@example.com,Dallas,TX,USA,South,Organic Search,2026-08-13
273,Neha,Baker,neha.baker273@example.com,Los Angeles,CA,USA,West,Email Marketing,2024-09-09
274,Mia,Gonzalez,mia.gonzalez274@example.com,Orlando,FL,USA,South,Organic Search,2023-04-22
275,Priya,Wang,priya.wang275@example.com,Tampa,FL,USA,South,Organic Search,2025-10-20
276,Elizabeth,Zhang,elizabeth.zhang276@example.com,New York,NY,USA,Northeast,Referral,2024-10-10
277,Omar,Kumar,omar.kumar277@example.com,Salt Lake City,UT,USA,West,Direct,2025-08-22
